Planet,Satellite,Code,Ephemeris,Frame,Epoch (TDB),a (km),e,omega (deg),M (deg),i (deg),node (deg),P (days),P_apsis (yr),P_node (yr),RA (deg),Dec (deg),Tilt (deg),Reference
Jupiter,Io,501,JUP365,Laplace,2000-01-01.5,421800,0.004,49.1,330.9,0,0,1.762732,1.333,0,268.1,64.5,0,1
Jupiter,Europa,502,JUP365,Laplace,2000-01-01.5,671100,0.009,45,345.4,0.5,184,3.525463,1.394,30.202,268.1,64.5,0,1
Jupiter,Ganymede,503,JUP365,Laplace,2000-01-01.5,1070400,0.001,198.3,324.8,0.2,58.5,7.155588,68.301,137.812,268.2,64.6,0.1,1
Jupiter,Callisto,504,JUP365,Laplace,2000-01-01.5,1882700,0.007,43.8,87.4,0.3,309.1,16.69044,277.921,577.264,268.7,64.8,0.4,1
Jupiter,Amalthea,505,JUP365,Laplace,2000-01-01.5,181400,0.003,180.1,310.6,0.4,282.9,0.499918,0.196,0.393,268.1,64.5,0,1
Jupiter,Thebe,514,JUP365,Laplace,2000-01-01.5,221900,0.018,26.6,182.1,1.1,340.4,0.676105,0.398,0.797,268.1,64.5,0,1
Jupiter,Adrastea,515,JUP365,Laplace,2000-01-01.5,129000,0,0,214.5,0,0,0.29826,0,0,268.1,64.5,0,1
Jupiter,Metis,516,JUP365,Laplace,2000-01-01.5,128000,0,0,166,0,0,0.294779,0,0,268.1,64.5,0,1
Jupiter,Himalia,506,JUP344,ecliptic,2000-01-01.5,11440600,0.16,328.4,66.5,28.1,68.2,250.56221,138.078,285.676,,,,2
Jupiter,Elara,507,JUP344,ecliptic,2000-01-01.5,11712300,0.211,140.1,330.7,27.9,118.1,259.639884,127.616,261.624,,,,2
Jupiter,Pasiphae,508,JUP344,ecliptic,2000-01-01.5,23468200,0.412,264.8,277.8,148.4,312.3,743.612321,81.126,80.786,,,,2
Jupiter,Sinope,509,JUP344,ecliptic,2000-01-01.5,23683900,0.264,96.6,167.5,157.3,304.6,758.849903,88.675,87.408,,,,2
Jupiter,Lysithea,510,JUP344,ecliptic,2000-01-01.5,11700800,0.117,47.4,331.5,27.2,7.1,259.198081,129.737,286.328,,,,2
Jupiter,Carme,511,JUP344,ecliptic,2000-01-01.5,23144400,0.256,155,234,164.6,117.5,734.18528,81.289,88.54,,,,2
Jupiter,Ananke,512,JUP344,ecliptic,2000-01-01.5,21034500,0.237,56.2,259.4,147.6,17.6,629.791691,142.376,110.506,,,,2
Jupiter,Leda,513,JUP344,ecliptic,2000-01-01.5,11146400,0.162,270.9,233.4,28.6,215.7,240.926609,146.033,310.776,,,,2
Jupiter,Callirrhoe,517,JUP344,ecliptic,2000-01-01.5,23795500,0.297,180.5,107.1,145.1,281.5,758.860222,119.762,89.001,,,,2
Jupiter,Themisto,518,JUP344,ecliptic,2000-01-01.5,7398500,0.34,236.2,284.7,43.8,209.5,130.028096,-,420.197,,,,2
Jupiter,Magaclite,519,JUP344,ecliptic,2000-01-01.5,23644600,0.421,85.1,138.1,149.8,280.3,752.861984,77.078,79.432,,,,2
Jupiter,Taygete,520,JUP344,ecliptic,2000-01-01.5,23108000,0.253,341,95.7,164.7,305.9,732.451194,81.237,88.733,,,,2
Jupiter,Chaldene,521,JUP344,ecliptic,2000-01-01.5,22930500,0.265,335,266.2,164.7,134.4,723.712689,81.657,89.543,,,,2
Jupiter,Harpalyke,522,JUP344,ecliptic,2000-01-01.5,20892100,0.232,71.3,219.3,147.7,30.2,623.316099,145.025,111.952,,,,2
Jupiter,Kalyke,523,JUP344,ecliptic,2000-01-01.5,23302600,0.26,130.3,256,164.8,45.3,742.015252,80.786,87.701,,,,2
Jupiter,Iocaste,524,JUP344,ecliptic,2000-01-01.5,21066700,0.227,244.7,215.5,148.8,268.9,631.593822,145.877,110.871,,,,2
Jupiter,Erinome,525,JUP344,ecliptic,2000-01-01.5,23032900,0.276,98.2,265.5,164.4,314.3,728.482799,80.374,88.108,,,,2
Jupiter,Isonoe,526,JUP344,ecliptic,2000-01-01.5,22981300,0.249,213.5,124.9,164.8,132.2,726.273223,82.135,89.957,,,,2
Jupiter,Praxidike,527,JUP344,ecliptic,2000-01-01.5,20935400,0.246,357.2,112.2,148.3,278.4,625.389698,146.445,110.385,,,,2
Jupiter,Autonoe,528,JUP344,ecliptic,2000-01-01.5,23792500,0.33,228.3,145.7,150.8,271.8,761.001946,92.519,85.278,,,,2
Jupiter,Thyone,529,JUP344,ecliptic,2000-01-01.5,20978000,0.233,343.5,244.4,147.5,235,627.175794,146.131,111.518,,,,2
Jupiter,Hermippe,530,JUP344,ecliptic,2000-01-01.5,21108500,0.219,356.6,134.7,150.2,331,633.904723,135.082,110.661,,,,2
Jupiter,Aitne,531,JUP344,ecliptic,2000-01-01.5,23064400,0.277,81.3,106,164.6,8.2,730.10012,80.391,88.413,,,,2
Jupiter,Eurydome,532,JUP344,ecliptic,2000-01-01.5,22899000,0.294,340.2,286.3,149.1,302.5,717.308142,111.83,93.152,,,,2
Jupiter,Euanthe,533,JUP344,ecliptic,2000-01-01.5,20827000,0.239,169.8,336.5,148,253.7,620.437937,142.52,111.81,,,,2
Jupiter,Euporie,534,JUP344,ecliptic,2000-01-01.5,19265800,0.148,329.8,72.2,145.7,58.4,550.686793,-,138.419,,,,2
Jupiter,Orthosie,535,JUP344,ecliptic,2000-01-01.5,20901000,0.299,140.1,200.7,144.3,219.1,622.585958,143.587,106.485,,,,2
Jupiter,Sponde,536,JUP344,ecliptic,2000-01-01.5,23543300,0.322,184.9,173.8,149.3,120.5,748.294484,98.176,87.481,,,,2
Jupiter,Kale,537,JUP344,ecliptic,2000-01-01.5,23052600,0.262,283.6,212.7,164.6,60.8,729.64267,81.337,88.943,,,,2
Jupiter,Pasithee,538,JUP344,ecliptic,2000-01-01.5,22846700,0.27,295.2,216,164.6,329.1,719.465077,81.009,89.472,,,,2
Jupiter,Hegemone,539,JUP344,ecliptic,2000-01-01.5,23348700,0.358,282.2,233.7,152.6,320.1,739.80682,85.714,84.71,,,,2
Jupiter,Mneme,540,JUP344,ecliptic,2000-01-01.5,20821000,0.247,18.5,253.7,148,11.6,620.068159,148.789,111.345,,,,2
Jupiter,Aoede,541,JUP344,ecliptic,2000-01-01.5,23778200,0.436,72.9,198.8,155.7,174.5,761.464554,69.343,76.914,,,,2
Jupiter,Thelxinoe,542,JUP344,ecliptic,2000-01-01.5,20976000,0.228,333.4,267.9,150.6,170.1,628.025732,131.527,110.79,,,,2
Jupiter,Arche,543,JUP344,ecliptic,2000-01-01.5,23097800,0.261,213.5,39.8,164.6,339.7,731.879533,81.361,88.615,,,,2
